Project Title,Architect/Designer,Cinematographer,Client,Construction Manager,Contractor,Drawings,I - Status,"II - Program Type ","III - Intervention Type ","IV - ""Gentle Works Qualities"" ",Landscape Architect,Last edited time,MEP Engineer,Make Drawings?,Month Completed,Navigation Image,Notes (Unpublished),"Operator ",Other Specialists,People Assigned,Photographed?,Photographer,Priority?,Project Description,Project Location,"Publish on Web? ",Representation Complete?,Structural Engineer,Videography,Year Completed
Hotel Row (South Downtown),Gentle Works,,SoDo,,Catamount Constructors,,Built,"Commercial, Retail","Adaptive Reuse, Interiors","Gathering Space, Material Expression",,"April 13, 2026 2:23 PM",BEST Engineering,Yes,,,,Crates and Village Books,,"Emily, Anna",Yes,Andrew Thomas Lee,High,"South Downtown is undergoing a major revitalization led by the SoDo development group. As part of this effort, the Gentle Works team collaborated on the design and implementation of a record store (Crates), bookstore (Village Books), gallery, and additional pop-up retail space within the “Hotel Row” development on Mitchell Street.
SoDo began the development on Hotel Row to inject energy and activity into this block—sparking momentum and setting the stage for larger, future developments in downtown Atlanta. Working closely with the SoDo team and tenants, we developed a strategy to efficiently design and permit the retail suites within a compressed timeline, while still meeting each tenant’s functional needs and design aspirations.
The result is a lively, budget-conscious pair of spaces that introduce bold, color-forward environments while respecting and highlighting the building’s historic character. Each tenant space maintains its own distinct identity, creating unique storefronts that contribute to the evolving vibrancy of the district.
","South Downtown, Atlanta, GA",Yes,✅,,,2025
Gather’d,,,,,,,Built,,,,,"April 13, 2026 1:59 PM",,Maybe?,,,,,,Emily,No,,Low,,"Buckhead, Atlanta, GA",Maybe?,,,,
Historic YMCA,Square Feet Studio,Adam Forrester,W.C. Bradley,,Brasfield & Gorrie,,Built,"Commercial, Workplace","Historic Preservation, Interiors, Renovation, Strategy/Planning","Civic Repair, Gathering Space",Jessica Ezzell,"April 13, 2026 12:55 PM","McKinney’s (M & P), Proficient Engineering (E)",Yes,,,https://www.notion.soMake sure to note completed while at SFS.,,,Emily,No,,Medium,"The historic YMCA in downtown Columbus, GA was built in 1903 in the Classical Revival style, and prior to the 2022 restoration, stood vacant and in near disrepair for several years. Holden and Emily led the Square Feet Studio architecture and interior design team on the renovation of both the exterior marble façade, windows, exterior entry sequence, and full interior outfit of the space. This 23,000 square foot Class A office building features five levels of office space for four tenants with a mezzanine level inside what was formerly a gymnasium.
The space features a rebuilt grand entry staircase, restoration of molding and plaster details throughout, custom steel handrails to accentuate the 3-story atrium, a restored glass skylight as the central anchor of the space, and exposed brick feature walls inside private office spaces. The historic Columbus YMCA won the 2023 CoStar Impact Award.","Columbus, GA",Yes,❌,Wright Engineering,,2022
"The Lodge, D",Gentle Works,,"King Properties, Clark R+D",,Peter Constructive,,Under Construction,"Commercial, Mixed-Use",New Build,Material Expression,,"April 21, 2026 3:33 PM",Westside Engineering,Yes,,,,,,"Holden Spaht, AIA, Anna",No,,High,,"East Atlanta Village, Atlanta, GA",Yes,In Progress,Palmer Engineering,,
Brewhouse,Gentle Works,,SoDo,,Freeman GC,,Under Construction,"Commercial, Food + Beverage","Adaptive Reuse, Interiors, Renovation","Gathering Space, Material Expression",,"April 13, 2026 2:05 PM",Proficient Engineering,Yes,5,,,Brewhouse,,"Emily, Carlisle",No,Andrew Thomas Lee,High,,"South Downtown, Atlanta, GA",Yes,❌,,,2026
Alabaster House,Gentle Works,,The Alabaster House,,Cross Miller,,Built,"Commercial, Wellness","Interiors, Renovation",Material Expression,,"April 13, 2026 2:01 PM",BEST Engineering,Maybe?,4,,,,,"Emily, Morgan",No,,Low,,"Morningside, Atlanta, GA",Maybe?,,,,2026
EAV Flat Shoals Block,,,,,,,In Design,,,,,"April 13, 2026 2:06 PM",,--,,,,,,"Holden Spaht, AIA, Clay Kiningham, Carlisle",--,,Low,,"East Atlanta Village, Atlanta, GA",Yes,,,,
,,,,,,,,,,,,"April 13, 2026 1:59 PM",,--,,,,,,,--,,,,,--,,,,
Harbor Coffee Expansion,Gentle Works,,Harbor Coffee,,Southern Choice Construction,,In Design,"Commercial, Food + Beverage","Interiors, Renovation",Gathering Space,,"April 13, 2026 2:01 PM",NEU Engineers,--,,,,,,"Emily, Morgan",--,Andrew Thomas Lee,Low,,"Inman Park, Atlanta, GA",Maybe?,,,,
Korver House (RENAME FOR WEBSITE),Gentle Works,,undisclosed,,Siegel Construction & Design,,In Design,Residential,"New Build, Renovation",,Land Plus Associates,"April 13, 2026 2:03 PM",,--,,,,,,"Clay Kiningham, Holden Spaht, AIA",--,,Low,,"Buckhead, Atlanta, GA",Yes,,Restruct Engineering,,
450 Capitol,,,,,,,Unbuilt,,,,,"April 13, 2026 2:00 PM",,--,,,,,,"Holden Spaht, AIA, Emily",No,,Low,,"Summerhill, Atlanta, GA",--,,,,
350 Memorial Drive,,,,,,,Unbuilt,,,,,"April 13, 2026 2:01 PM",,,,,,,,"Holden Spaht, AIA",,,Low,,"Atlanta, GA",,,,,
Bagely Park,,,,,,,Unbuilt,,,,,"April 13, 2026 2:00 PM",,,,,,,,"Holden Spaht, AIA, Carlisle",,,Low,,"Buckhead, Atlanta, GA",,,,,
Daily Dose,Square Feet Studio,,"Dan Collier of Daniel Richards, Inc",,,,Built,"Commercial, Food + Beverage",Renovation,Gathering Space,,"April 17, 2026 4:04 PM",Proficient Engineering,Yes,,,,,,"Holden Spaht, AIA, Morgan",Yes,Andrew Thomas Lee,High,,"Reynoldstown, Atlanta, GA",Yes,❌,,,
